GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A024QYY4	BCL9	enables	GO:0003713	transcription coactivator activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR015668	9606	InterPro		F
UniProtKB	A0A024QYY4	BCL9	involved_in	GO:0045944	positive regulation of transcription by RNA polymerase II	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9D219|ensembl:ENSMUSP00000046152	9606	Ensembl		P
UniProtKB	A0A024QZ23	TFE3	involved_in	GO:0045893	positive regulation of transcription, DNA-templated	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR024100	9606	InterPro		P
UniProtKB	A0A024QZ23	TFE3	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:A2AEW1|ensembl:ENSMUSP00000076864	9606	Ensembl		F
UniProtKB	A0A024QZ23	TFE3	involved_in	GO:0045944	positive regulation of transcription by RNA polymerase II	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:A2AEW1|ensembl:ENSMUSP00000076864	9606	Ensembl		P
UniProtKB	A0A024QZ86	TBX2	involved_in	GO:0045893	positive regulation of transcription, DNA-templated	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR046360	9606	InterPro		P
UniProtKB	A0A024QZ86	TBX2	involved_in	GO:0045944	positive regulation of transcription by RNA polymerase II	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q60707|ensembl:ENSMUSP00000000095	9606	Ensembl		P
UniProtKB	A0A024QZE1	IRF3	involved_in	GO:0045944	positive regulation of transcription by RNA polymerase II	ECO:0007669	IEA	GO_REF:0000117	ARBA:ARBA00027996	9606	UniProt		P
UniProtKB	A0A024QZI5	NCOA4	enables	GO:0003713	transcription coactivator activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR039947	9606	InterPro		F
UniProtKB	A0A024QZI5	NCOA4	involved_in	GO:0045893	positive regulation of transcription, DNA-templated	ECO:0000366	IEA	GO_REF:0000108	GO:0003713	9606	GOC		P
